,PPG_Rate
0,42.08390696326354
1,42.08390696326354
2,42.08390696326354
3,42.08390696326354
4,42.08390696326354
5,42.08390696326354
6,42.08390696326354
7,42.08390696326354
8,42.08390696326354
9,42.08390696326354
10,42.08390696326354
11,42.08390696326354
12,42.08390696326354
13,42.08390696326354
14,42.08390696326354
15,42.08390696326354
16,42.08390696326354
17,42.08390696326354
18,42.08390696326354
19,42.08390696326354
20,42.08390696326354
21,42.08390696326354
22,42.08390696326354
23,42.08390696326354
24,42.08390696326354
25,42.08390696326354
26,42.08390696326354
27,42.08390696326354
28,42.08390696326354
29,42.08390696326354
30,42.08390696326354
31,42.08390696326354
32,42.08390696326354
33,42.08390696326354
34,42.08390696326354
35,42.08390696326354
36,42.08390696326354
37,42.08390696326354
38,42.08390696326354
39,42.08390696326354
40,42.08390696326354
41,42.08390696326354
42,42.08390696326354
43,42.08390696326354
44,42.08390696326354
45,42.08390696326354
46,42.08390696326354
47,42.08390696326354
48,42.08390696326354
49,42.427057035525564
50,42.77429663631062
51,43.12537645558362
52,43.48002769292083
53,43.83796110192467
54,44.19886604410542
55,44.56240955939129
56,44.928235461280835
57,45.29596346553633
58,45.66518836222774
59,46.03547924186277
60,46.40637878726856
61,46.77740264380996
62,47.14803888142163
63,47.51774756277733
64,47.88596043269719
65,48.25208074457869
66,48.61548324020211
67,48.97551429967688
68,49.33149227853039
69,49.682708048962354
70,50.028425762061815
71,50.36788384727547
72,50.70029626459305
73,51.024854023743565
74,51.340726983149345
75,51.64706593943477
76,51.94300501591752
77,52.227664355707496
78,52.500153121801425
79,52.75957280289619
80,53.005020819570426
81,53.23559442103551
82,53.450394857881086
83,53.64853181119702
84,53.8291280532241
85,53.99132430935939
86,54.13428428602709
87,54.25719982374171
88,54.3592961297658
89,54.43983704023692
90,54.498130257647915
91,54.53353250625128
92,54.54545454545454
93,54.54199057868961
94,54.531804990643934
95,54.515210633908644
96,54.49252427836705
97,54.46406589225363
98,54.430157954973325
99,54.39112480372234
100,54.34729201563373
101,54.298985826865355
102,54.24653258975511
103,54.19025826889138
104,54.13048797668745
105,54.06754554880758
106,54.001753159570804
107,53.93343097725807
108,53.862896859067526
109,53.79046608530345
110,53.716451132245545
111,53.64116148302727
112,53.564903475753376
113,53.48798018800876
114,53.410691356850464
115,53.333333333333336
116,53.25619907059536
117,53.179578144520654
118,53.103756806005656
119,53.02901806387642
120,52.9556417975409
121,52.88390489850916
122,52.81408143997626
123,52.74644287373535
124,52.681258253772384
125,52.61879448598973
126,52.55931660360922
127,52.50308806792131
128,52.45037109417098
129,52.40142700250516
130,52.35651659405088
131,52.31590055234762
132,52.27983987052143
133,52.24859630476559
134,52.22243285487927
135,52.201614272817466
136,52.186407600420345
137,52.17708273772086
138,52.173913043478265
139,52.17934880546337
140,52.19532023167431
141,52.22133217807002
142,52.256899466906056
143,52.301545034709775
144,52.354798191119905
145,52.416192980089924
146,52.48526663633718
147,52.561558131187944
148,52.644606803136995
149,52.73395106952338
150,52.829127216731514
151,52.92966826726907
152,53.03510292295523
153,53.144954584281784
154,53.25874044678699
155,53.37597067601094
156,53.49614766328205
157,53.61876536521477
158,53.74330873037823
159,53.86925321712
160,53.99606440699261
161,54.1231977186301
162,54.250098227246966
163,54.3762005951789
164,54.50092911904205
165,54.623697899148006
166,54.743911136765675
167,54.86096356465966
168,54.97424101604658
169,55.083121136690814
170,55.186974244297126
171,55.285164338645714
172,55.37705026504931
173,55.461987032687425
174,55.53932728819055
175,55.60842294350735
176,55.66862695559681
177,55.719295253852344
178,55.759788809399545
179,55.78947583853
180,55.80773413056105
181,55.81395348837209
182,55.80026864352822
183,55.75995047371912
184,55.69415605782325
185,55.60410409732783
186,55.491064474532465
187,55.356348023612824
188,55.20129663369311
189,55.027273787117686
190,54.83565561952024
191,54.62782257158281
192,54.405151686011735
193,54.169009587619136
194,53.92074616979963
195,53.66168899736891
196,53.39313842384915
197,53.11636341094343
198,52.832598029176864
199,52.543038611482466
200,52.24884152582116
201,51.95112152865975
202,51.65095065817577
203,51.34935762428555
204,51.04732765186448
205,50.74580273370344
206,50.445682250685834
207,50.1478239182398
208,49.85304502019697
209,49.56212389365802
210,49.275801631223636
211,48.99478396991188
212,48.7197433391679
213,48.4513210435241
214,48.190129558629934
215,47.93675492250732
216,47.69175920696864
217,47.4556830571409
218,47.229048289962634
219,47.01236054535711
220,46.806111986539726
221,46.61078404860294
222,46.42685023715317
223,46.25477898137549
224,46.09503654849958
225,45.948090029269814
226,45.81441040671957
227,45.694475723361464
228,45.58877436488214
229,45.49780848163005
230,45.42209757267725
231,45.36218226109857
232,45.31862829343602
233,45.29203080120946
234,45.28301886792453
235,45.551230815293096
236,46.33229172183677
237,47.61204996326231
238,49.40000564700567
239,51.725820041685765
240,54.637436762225974
241,58.199720577473215
242,62.49240990106083
243,67.60563380281691
244,73.63016581095867
245,80.63787620408353
246,88.64569083447331
247,97.55499177562797
248,107.06155917268387
249,116.54676258992805
250,124.99821390297922
251,131.06108843027832
252,133.33333333333334
253,133.05720837668832
254,132.26221079691516
255,131.00587831587742
256,129.35260842237585
257,127.36995812743572
258,125.12539899680803
259,122.68370607028754
260,120.10504814706741
261,117.44375785784983
262,114.74770002787845
263,112.05812538816905
264,109.40988835725679
265,106.83191525602447
266,104.34782608695653
267,101.97663345179198
268,99.73346256360551
269,97.63025446782646
270,95.67642956764297
271,93.87950021026522
272,92.24562976243836
273,90.78014184397163
274,89.48798782476355
275,88.37418393843224
276,87.44423199490122
277,86.70454021815692
278,86.16286372200125
279,85.82878814536781
280,85.71428571428572
281,85.82482536270822
282,86.14422091580822
283,86.65599652768358
284,87.34551022640271
285,88.19923794798167
286,89.20413292376432
287,90.34703170517861
288,91.6140874153952
289,92.99021891010712
290,94.45857235791591
291,96.0
292,97.5925699621166
293,99.21113112615691
294,100.82696799444479
295,102.40759144679897
296,103.91672088484059
297,105.31451931953052
298,106.55814263793448
299,107.60265436049448
300,108.4023347359848
301,108.9123764064098
302,109.09090909090908
303,108.93972430614582
304,108.50065333014335
305,107.79835804794207
306,106.86048830001269
307,105.71653995122648
308,104.3967913870345
309,102.9313686121829
310,101.34946966701621
311,99.67876103202244
312,97.94494376422506
313,96.17147611046768
314,94.37943234027567
315,92.58747408756831
316,90.81190985967561
317,89.06681975435468
318,87.36422506409022
319,85.71428571428571
320,84.12551190764971
321,82.60497961356853
322,81.15854246107678
323,79.79103508012126
324,78.50646497196959
325,77.30819160514548
326,76.19909268330511
327,75.18171848300136
328,74.25843588225662
329,73.43156426320576
330,72.70350593777363
331,72.07687417477628
332,71.55462235869554
333,71.14017834517878
334,70.83758876326192
335,70.65167893008653
336,70.58823529411765
337,70.69351993113382
338,70.99910977196467
339,71.491738422155
340,72.16035634743876
341,72.99545010516681
342,73.98843930635839
343,75.13111531807354
344,76.41509433962266
345,77.83126425133013
346,79.36921074791395
347,81.0166147354438
348,82.75862068965517
349,84.57718545105998
350,86.45042941716002
351,88.35202761000863
352,90.2506963788301
353,92.10985130317938
354,93.8875305623472
355,95.53669127725499
356,97.00598802395209
357,98.24112567956509
358,99.18683631493352
359,99.78945848722914
360,100.0
361,99.92685508405799
362,99.71287833415455
363,99.36704996190383
364,98.89922148332765
365,98.31988383191305
366,97.63994348562879
367,96.87051327597382
368,96.02272296296168
369,95.10755305117999
370,94.13569380193132
371,93.11743004799105
372,92.06255129253702
373,90.98028569556486
374,89.87925591921828
375,88.7674543999601
376,87.65223541093422
377,86.54032123679163
378,85.43781986870175
379,84.35025180403079
380,83.28258377188023
381,82.23926747601978
382,81.22428172977959
383,80.24117663749104
384,79.29311874308564
385,78.38293631151154
386,77.51316412898115
387,76.68608740253927
388,75.90378450871978
389,75.1681684871569
390,74.48102730084297
391,73.84406299376022
392,73.25892997269888
393,72.72727272727273
394,72.23272704476118
395,71.75693783887155
396,71.29863188354128
397,70.85660251159325
398,70.42970412755808
399,70.01684727448313
400,69.61699419776727
401,69.22915485606218
402,68.85238333531655
403,68.48577462725349
404,68.12846173807775
405,67.77961309711064
406,67.43843023842861
407,67.10414573150926
408,66.77602133942409
409,66.45334638531527
410,66.13543630979441
411,65.8216314035466
412,65.51129570084139
413,65.20381602087627
414,64.89860114492868
415,64.59508111819358
416,64.29270666595298
417,63.99094871437928
418,63.689298006829475
419,63.387264806957845
420,63.08437868037063
421,62.78018834688057
422,62.474261595700916
423,62.166185256157576
424,61.85556521670335
425,61.542026485197276
426,61.22521328357292
427,60.90478917016883
428,60.580437183138706
429,60.25185999850402
430,59.918780096563644
431,59.58093993053769
432,59.238102091501254
433,58.890049463861814
434,58.53658536585366
435,58.16946780308401
436,57.78182757448416
437,57.37552585162762
438,56.952393344528026
439,56.51422112716763
440,56.062752669380885
441,55.59967705318791
442,55.12662333421004
443,54.645155994547935
444,54.15677142235567
445,53.66289534511435
446,53.16488113804849
447,52.6640089259538
448,52.161485395608615
449,51.658444236607735
450,51.155947130582284
451,50.65498521205513
452,50.15648092836136
453,49.6612902308876
454,49.17020503514094
455,48.68395589265743
456,48.203214823346805
457,47.728598262414316
458,47.26067008139896
459,46.79994464804205
460,46.34688989459008
461,45.901930368703624
462,45.46545024536285
463,45.03779628201836
464,44.61928070273315
465,44.21018400020259
466,43.810757647338725
467,43.42122671258022
468,43.04179237526168
469,42.67263433926801
470,42.31391314483718
471,41.965772379781505
472,41.628340792599595
473,41.301734310971554
474,40.98605796999314
475,40.68140775523236
476,40.38787236630443
477,40.10553490718042
478,39.834474509886455
479,39.5747678986345
480,39.32649090176658
481,39.089719919207994
482,38.86453335342672
483,38.65101301219806
484,38.44924549179108
485,38.25932354953871
486,38.081347475139935
487,37.915426470484995
488,37.76168004830663
489,37.62023946055729
490,37.4912491681123
491,37.37486836421832
492,37.271272565069225
493,37.18065528201782
494,37.103229791253135
495,37.03923101831749
496,36.98891755664484
497,36.952573841414974
498,36.93051250248851
499,36.92307692307692
500,36.92700544373999
501,36.93864402329979
502,36.95777901156123
503,36.98420514699242
504,37.01772471053017
505,37.05814672353616
506,37.105286185301225
507,37.15896334594967
508,37.21900301100606
509,37.285233874258864
510,37.357487875895345
511,37.435599583192285
512,37.519405591334774
513,37.60874394220093
514,37.70345355919965
515,37.80337369648266
516,37.90834340107471
517,38.01820098667859
518,38.132783518117016
519,38.25192630557285
520,38.375462407985104
521,38.50322214515085
522,38.635032618275005
523,38.77071723890176
524,38.91009526635337
525,39.05298135399646
526,39.19918510485159
527,39.348510637261256
528,39.50075616153232
529,39.65571356867412
530,39.81316803256029
531,39.9728976270521
532,40.13467295983265
533,40.298256824913075
534,40.46340387598412
535,40.629860322996386
536,40.79736365455906
537,40.965642388948154
538,41.13441585670786
539,41.30339401801134
540,41.47227731811522
541,41.64075658439368
542,41.8085129685681
543,41.97521793785366
544,42.14053331882008
545,42.304111397806544
546,42.465595081733554
547,42.624618123115646
548,42.78080541299044
549,42.93377334533808
550,43.083130256366715
551,43.22847694177751
552,43.36940725479572
553,43.5055087873564
554,43.63636363636363
555,43.76669216779552
556,43.90136363594132
557,44.04017709454906
558,44.18292754016637
559,44.329405445974764
560,44.47939630794475
561,44.63268020400553
562,44.789031367123386
563,44.948217773383234
564,45.11000074637022
565,45.27413457934875
566,45.44036617693849
567,45.60843471818592
568,45.77807134312761
569,45.94899886513431
570,46.12093151151268
571,46.29357469502134
572,46.46662481912799
573,46.63976911999184
574,46.81268554829837
575,46.985042694197084
576,47.156499758695645
577,47.3267065749409
578,47.495303682865384
579,47.66192246069282
580,47.82618531677476
581,47.987705945166425
582,48.146089648242025
583,48.30093372949142
584,48.45182795942918
585,48.59835511727855
586,48.74009161076589
587,48.87660817596966
588,49.007470658713984
589,49.132240878475905
590,49.25047757518864
591,49.36173743867258
592,49.46557621971032
593,49.56154992100863
594,49.64921606546099
