hash,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,98,69,65,84,73,77,66,67,82,82,84,65,68,72,70,84,82,91,70,76,70,74,82,76,78,81,75,66,71,85,78,63,102,80,78,100,78,75,77,77,1909
2,115,122,121,128,126,121,126,126,132,123,135,116,122,111,119,115,141,125,146,141,114,121,120,110,114,123,138,119,114,101,136,108,112,105,120,120,120,110,124,132,128
3,90,135,121,98,125,110,107,128,141,118,132,116,120,144,100,129,127,101,124,123,105,126,96,126,137,133,119,153,147,107,132,121,111,124,136,137,119,124,134,104,120
4,132,87,117,177,120,89,107,113,167,114,113,116,156,122,99,116,158,86,114,116,153,97,112,115,165,97,106,113,147,95,101,123,184,100,93,137,165,99,85,137,157
