unix time ms,samples
1760398659190,10000408
1760398659229,10548474
1760398659269,10523736
1760398659309,10401151
1760398659349,10344531
1760398659389,10349891
1760398659429,10427676
1760398659469,10528137
1760398659509,10759976
1760398659549,11010099
1760398659589,11075100
1760398659629,11084997
1760398659669,11074964
1760398659709,10970107
1760398659749,10591904
1760398659789,9966052
1760398659829,9348998
1760398659869,9093240
1760398659909,9397232
1760398659949,9553217
1760398659989,9477355
1760398660029,9370299
1760398660069,9090218
1760398660109,8635194
1760398660149,7936918
1760398660189,7941726
1760398660229,7613136
1760398660269,6977939
1760398660309,6462857
1760398660349,6274031
1760398660389,6105818
1760398660429,6049610
1760398660469,6652094
1760398660509,8093310
1760398660549,9110832
1760398660589,9294026
1760398660629,10350163
1760398660669,13426230
1760398660709,10064174
1760398660749,8513292
1760398660789,6825395
1760398660829,3436402
1760398660869,1816669
1760398660909,1443134
1760398660949,1510750
1760398660989,1258705
1760398661029,708168
1760398661069,584620
1760398661109,595201
1760398661148,609219
1760398661188,482785
1760398661228,337660
1760398661268,289974
1760398661308,346042
1760398661348,409808
1760398661388,413382
1760398661428,529511
1760398661468,688514
1760398661508,634781
1760398661548,563179
1760398661588,628185
1760398661628,586679
1760398661668,527173
1760398661708,511096
1760398661748,602759
1760398661788,875829
1760398661828,1236581
1760398661868,2170270
1760398661908,3500033
1760398661948,5087334
1760398661988,5784782
1760398662028,5529028
1760398662068,5083073
1760398662108,5163879
1760398662148,6242697
1760398662188,6872945
1760398662228,6433034
1760398662268,5684186
1760398662308,5433652
1760398662348,5065345
1760398662388,4864972
1760398662428,4548337
1760398662468,4506558
1760398662508,4730979
1760398662548,4743350
1760398662588,4670098
1760398662628,4865659
1760398662668,5294027
1760398662708,5750703
1760398662748,5314504
1760398662788,4533771
1760398662828,4630658
1760398662868,5164707
1760398662908,4746096
1760398662948,4988248
1760398662988,5977869
1760398663028,6752555
1760398663067,6923653
1760398663107,7242079
1760398663147,7501819
1760398663187,8172470
1760398663227,8770697
1760398663267,9163055
1760398663307,9486565
1760398663347,13195762
1760398663387,26309623
1760398663427,19033459
1760398663467,10957876
1760398663507,15675528
1760398663547,24056479
1760398663587,61484772
1760398663627,62766569
1760398663667,50428082
1760398663707,51399292
1760398663747,53311750
1760398663787,57869848
1760398663827,61547024
1760398663867,63357925
1760398663907,63737776
1760398663947,64202286
1760398663987,60812745
1760398664027,54577055
1760398664067,52859607
1760398664107,53499888
1760398664147,54177962
1760398664187,55375104
1760398664227,56605090
1760398664267,57643365
1760398664307,58605225
1760398664347,59072621
1760398664387,57112338
1760398664427,56349060
1760398664467,56230872
1760398664507,56220152
1760398664547,56188406
1760398664587,56200226
1760398664627,55520365
1760398664667,55253614
1760398664707,54207785
1760398664747,53645700
1760398664787,53279041
1760398664827,54028029
1760398664867,51229705
1760398664907,50719983
1760398664947,50907709
1760398664986,49661778
1760398665026,45823809
1760398665066,43970169
1760398665106,42653605
1760398665146,41128420
1760398665186,41083756
1760398665226,40857273
1760398665266,40788286
1760398665306,40529370
1760398665346,40111446
1760398665386,40001640
1760398665426,40584614
1760398665466,41753308
1760398665506,41986938
1760398665546,43283853
1760398665586,46134812
1760398665626,42211359
1760398665666,42318551
1760398665706,43600900
1760398665746,44305495
1760398665786,44778663
1760398665826,45332366
1760398665866,46370912
1760398665906,46832396
1760398665946,47137216
1760398665986,47284399
1760398666026,47323707
1760398666066,46643570
1760398666106,44797078
1760398666146,49846071
1760398666186,91515827
1760398666226,84509436
1760398666266,62202422
1760398666306,50485529
1760398666346,62559189
1760398666386,91166344
1760398666426,85727055
1760398666466,76193216
1760398666506,52048231
1760398666546,49423891
1760398666586,49311611
1760398666626,49438185
1760398666666,49415369
1760398666706,49583034
1760398666746,50015107
1760398666786,50596295
1760398666826,50915268
1760398666866,51242623
1760398666905,51436258
1760398666945,51631407
1760398666985,51764577
1760398667025,51858026
1760398667065,51899669
1760398667105,51949829
1760398667145,52024040
1760398667185,52107737
1760398667225,52218642
1760398667265,52457904
1760398667305,52710085
1760398667345,52570596
1760398667385,52691670
1760398667425,52880496
1760398667465,53086230
1760398667505,53379362
1760398667545,53516516
1760398667585,53371667
1760398667625,53147382
1760398667665,53082245
1760398667705,53049808
1760398667745,53015588
1760398667785,52932995
1760398667825,52882283
1760398667865,52865379
1760398667905,52800789
1760398667945,52740184
1760398667985,52658961
1760398668025,52619933
1760398668065,52468760
1760398668105,52350297
1760398668145,52673531
1760398668185,52791719
1760398668225,52586537
1760398668265,52683564
1760398668305,52669406
1760398668345,63424446
1760398668385,63183459
1760398668425,62998009
1760398668465,63005009
1760398668505,62932440
1760398668545,62800357
1760398668585,62637704
1760398668625,62632452
1760398668665,63040992
1760398668705,63668054
1760398668745,63928735
1760398668785,63674371
1760398668824,63142666
1760398668864,62905505
1760398668904,62828648
1760398668944,62772649
1760398668984,62079365
1760398669024,61870736
1760398669064,61860301
1760398669104,61846382
1760398669144,61866960
1760398669184,61893553
1760398669224,61765407
1760398669264,61865423
1760398669304,61871800
1760398669344,61930089
1760398669384,61242459
1760398669424,60769403
1760398669464,60331768
1760398669504,60187343
1760398669544,60097420
1760398669584,60138354
1760398669624,60148979
1760398669664,60009123
1760398669704,59900049
1760398669744,59797010
1760398669784,59696230
1760398669824,59613909
1760398669864,59549445
1760398669904,59389453
1760398669944,59052989
1760398669984,59105744
1760398670024,58996308
1760398670064,58891170
1760398670104,59136847
1760398670144,59449177
1760398670184,59602933
1760398670224,59145935
1760398670264,59381971
1760398670304,60085880
1760398670344,59961099
1760398670384,59553522
1760398670424,59730456
1760398670464,59607904
1760398670504,59460696
1760398670544,58945722
1760398670584,59110735
1760398670624,58805364
1760398670664,58209073
1760398670704,58155394
1760398670743,58113576
1760398670783,58048248
1760398670823,57995081
1760398670863,57918043
1760398670903,57818529
1760398670943,57760170
1760398670983,57397927
1760398671023,57252085
1760398671063,57148896
1760398671103,56948883
1760398671143,56781078
1760398671183,56634193
1760398671223,56555166
1760398671263,56543898
1760398671303,56723654
1760398671343,57025701
1760398671383,57347633
1760398671423,57697092
1760398671463,58073335
1760398671503,58403672
1760398671543,58743038
1760398671583,59074431
1760398671623,59434475
1760398671663,59765194
1760398671703,60118941
1760398671743,60597018
1760398671783,60990475
1760398671823,61236955
1760398671863,61507508
1760398671903,61771523
1760398671943,62051396
1760398671983,62252603
1760398672023,62510683
1760398672063,62754441
1760398672103,63020957
1760398672143,63226021
1760398672183,63371802
1760398672223,63480475
1760398672263,63564162
1760398672303,63583765
1760398672343,63572598
1760398672383,63543403
1760398672423,63575018
1760398672463,63632382
1760398672503,63806293
1760398672543,63958733
1760398672583,64088456
1760398672623,64210978
1760398672662,53026419
1760398672702,53105145
1760398672742,53131387
1760398672782,53161776
1760398672822,53201827
1760398672862,53233944
1760398672902,53213567
1760398672942,53234978
1760398672982,53218056
1760398673022,53220818
1760398673062,53236354
1760398673102,53230489
1760398673142,53312669
1760398673182,53302657
1760398673222,53327512
1760398673262,53367222
1760398673302,53376200
1760398673342,53365153
1760398673382,53246025
1760398673422,52966002
1760398673462,52813040
1760398673502,52661796
1760398673542,52569954
1760398673582,52524380
1760398673622,52497094
1760398673662,52550622
1760398673702,52542327
1760398673742,52538882
1760398673782,52439438
1760398673822,52371408
1760398673862,52291649
1760398673902,52281294
1760398673942,52245733
1760398673982,52175986
1760398674022,52135584
1760398674062,52094147
1760398674102,63006937
1760398674142,62927720
1760398674182,62885881
1760398674222,62925028
1760398674262,62986892
1760398674302,63032667
1760398674342,62974318
1760398674382,62864340
1760398674422,62750786
1760398674462,62658693
1760398674502,62591336
1760398674542,62579064
1760398674581,62643931
1760398674621,62559742
1760398674661,62416100
1760398674701,62268149
1760398674741,62204950
1760398674781,62196102
1760398674821,62235530
1760398674861,62410164
1760398674901,62961383
1760398674941,63397090
1760398674981,63460148
1760398675021,63577549
1760398675061,63655230
1760398675101,63896287
1760398675141,63954013
1760398675181,63800810
1760398675221,63632714
1760398675261,63199327
1760398675301,62606973
1760398675341,62129940
1760398675381,61885850
1760398675421,61796208
1760398675461,61455205
1760398675501,61098977
1760398675541,60377061
1760398675581,58430919
1760398675621,58271710
1760398675661,59538096
1760398675701,61048090
1760398675741,61777699
1760398675781,62320141
1760398675821,61360873
1760398675861,60734695
1760398675901,60295865
1760398675941,60528968
1760398675981,60889193
1760398676020,61267716
1760398676060,61712090
1760398676100,63590775
1760398676140,63311997
1760398676180,62701918
1760398676220,62299784
1760398676260,62334753
1760398676300,62287271
1760398676340,62326227
1760398676380,62373970
1760398676420,62380428
1760398676460,62327151
1760398676500,51500949
1760398676540,51476776
1760398676580,51425669
1760398676620,51396324
1760398676660,51331065
1760398676700,51312767
1760398676740,51277547
1760398676780,51207800
1760398676820,51246124
1760398676860,51367661
1760398676900,51524419
1760398676940,51432578
1760398676979,51357307
1760398677019,51333134
1760398677059,51315178
1760398677099,51208835
1760398677139,51087287
1760398677179,50959532
1760398677219,50847666
1760398677259,50781715
1760398677299,50776874
1760398677339,50897729
1760398677379,50943303
1760398677419,50783090
1760398677460,50701603
1760398677500,50657063
1760398677540,50589385
1760398677580,50590771
1760398677620,51003389
1760398677660,51049656
1760398677700,50957463
1760398677740,50775147
1760398677780,50604921
1760398677820,50510660
1760398677860,50518603
1760398677900,50576611
1760398677939,61269313
1760398677979,61102774
1760398678019,60916450
1760398678059,60798386
1760398678099,60633042
1760398678139,60549908
1760398678179,60292390
1760398678219,60196843
1760398678259,60475260
1760398678299,60557651
1760398678339,60309433
1760398678379,59850136
1760398678419,59738651
1760398678459,59660638
1760398678499,59956951
1760398678539,60319697
1760398678579,60355821
1760398678619,60438854
1760398678659,60423710
1760398678699,60340917
1760398678739,60301007
1760398678779,60413567
1760398678819,60704627
1760398678859,60880516
1760398678898,60929294
1760398678938,60971354
1760398678978,60922013
1760398679018,60805527
1760398679058,60693680
1760398679098,60554929
1760398679138,60398563
1760398679178,60374550
1760398679218,60343649
1760398679258,60251044
1760398679298,60176256
1760398679338,60112042
